Abk;Name;Kurzname;Typ;BetrZust;PrimaryLocationCode;UIC;RB;gültigVon;gültigBis;NetzKey;FplRel;FplGr;
AA;Hamburg-Altona;Hamburg-Altona;Bf;;DE 14421;0080;2;20081214;;010934;J;N;
AA  G;Hamburg-Altona Gbf;Hmb-Altona Gbf;Bft;;DE 14423;0080;2;20081214;;908650;J;N;
AABG;Agathenburg;Agathenburg;Hp;;DE 10046;0080;2;20081214;;011924;J;N;
AACW;Achterwehr;Achterwehr;Hp;;DE 10031;0080;2;20141214;;106933;J;N;
AADF;Adendorf;Adendorf;Bf;;DE 10040;0080;2;20081214;;011601;J;N;
AAE;Brest-Aspe;Brest-Aspe;NE-Hp;; ;0080;;20081214;;585869;J;N;
AAG;Ascheberg (Holst);Ascheberg/Holst;Bf;;DE 10308;0080;2;20081214;;013664;J;N;
AAGD;Arnis-Grödersby;Arnis-Grödersby;NE-Hp;a.B.; ;0080;;20090401;;100307;N;N;
AAH;Aumühle;Aumühle;Bf;;DE 10369;0080;9;20111211;;685172;J;N;
AAH A;Aumühle Abzw;Aumühle Abzw;Bft Abzw;;DE 10371;0080;9;20111211;;010595;J;N;
AAHG;Ahrensburg-Gartenholz;Ahrensburg-Gh;Hp;;DE 10069;0080;2;20091213;;899401;J;N;
AAHN;Ahrensburg Nord;Ahrensburg Nord;Awanst;;DE 10067;0080;2;20081214;;909500;J;N;
AAHR;Ahrensburg;Ahrensburg;Bf;;DE 10066;0080;2;20081214;;016287;J;N;
AAHRW;Ahrensburg West (Bus);Ahrensburg W Bus;Bush;; ;0080;;20150324;;;N;N;
AAHZ;Altenholz;Altenholz;NE-Bf;a.B.; ;0080;;20090401;;591057;N;N;
AAI;Hamburg Airport;Hamburg Airport;Bf;;DE 14376;0080;9;20090124;;854711;J;N;
AAL;Albersdorf;Albersdorf;Hp Anst;;DE 10087;0080;2;20081214;20161210;014498;J;N;
AAL;Albersdorf;Albersdorf;Hp;;DE 10087;0080;2;20161211;;014498;J;N;
AALA;Alsen Abzw;Alsen Abzw;Abzw;;DE 10126;0080;2;20101212;;107045;N;N;
AALG;Alsen DB-Grenze;Alsen DB-Gr;Gp;;DE 10127;0080;2;20091213;;106888;J;J;
AALH;Hamburg-Allermöhe               (S-Bahn);Allermöhe;Hp;;DE 14420;0080;9;20081214;;399808;J;N;
AALM;Hamburg-Allermöhe;Allermöhe;Abzw;;DE 14419;0080;2;20081214;;245357;J;N;
AALS;Itzehoe Alsen;Alsen;Awanst;;DE 15254;0080;2;20081214;;014969;J;N;
AAMP;Hamburg Anckelmannsplatz;Anckelmannsplatz;Üst;;DE 14378;0080;2;20081214;;304303;J;N;
AAMS;Aumühle (S-Bahn);Aumühle (S-Bahn);Bf;a.B.;DE 10370;0080;9;20140612;;108053;N;N;
AAN;Hamburg-Altona (neu);Hmb-Altona (neu);Bf;Planung; ;0080;2;20160101;;109733;N;N;
AAPL;Apeler;Apeler;NE-Bf;; ;0080;;20130904;;108062;J;N;
AAPS;Apensen;Apensen;NE-Bf;; ;0080;;20090401;;426031;J;N;
AAPSB;Apensen BHE;Apensen BHE;Museum;; ;0080;;20030116;;;N;N;
AAR;Hamburg Rainweg;Rainweg;Abzw;;DE 14409;0080;2;20081214;;017129;J;N;
AARF;Ahrensfelde (Bz Bremen);Ahrensfelde/Brm;NE-Bf;; ;0080;;20081214;;585646;J;N;
AAS;Hamburg-Altona                  (S-Bahn);Altona (S-Bahn);Bf;;DE 14422;0080;9;20090214;;010207;J;N;
AAS O;Hamburg-Ottensen                (S-Bahn);Hmb-Ottensen S-B;Bft;Planung;DE 21565;0080;9;20130905;;108911;N;N;
AASA;Ashausen Abzw;Ashausen Abzw;Abzw;;DE 10314;0080;2;20140814;;107558;J;N;
AASM;Archsum;Archsum;Bush;; ;0080;;19990101;;;;;
AASN;Ashausen;Ashausen;Hp;;DE 10313;0080;2;20140814;;011809;J;N;
AAT;Altengörs;Altengörs;Hp;;DE 10167;0080;2;20081214;;013383;J;N;
AAU;Aukrug;Aukrug;Hp;;DE 10364;0080;2;20081214;;014423;J;N;
AAV;Alveslohe;Alvesloe;NE-Hp;; ;0080;;20120701;;404095;J;N;
AAW;Hamburg Alte Wöhr;Alte Wöhr;Hp;;DE 14377;0080;9;20081214;;011197;J;N;
AAX;Hamburg-Altona ESTW-Z;Hmb-Altona ESTW;BZ;; ;0080;2;20110812;;107284;N;N;
AB;Hamburg-Blankenese;Blankenese;Bf;;DE 14437;0080;9;20081214;;011072;J;N;
ABAA;Basdahl;Basdahl;NE-Hp;; ;0080;;20081214;;585430;J;N;
ABAAK;Basdahl-Kluste;Basdahl-Kluste;NE-Hp;; ;0080;;20081214;;912708;J;N;
ABAD;Bardowick;Bardowick;Bf;;DE 10625;0080;2;20081214;;011775;J;N;
ABAE;Bargteheide;Bargteheide;Bf;;DE 10635;0080;2;20081214;;016295;J;N;
ABAF;Hamburg-Bahrenfeld;Bahrenf (S-Bahn);Hp;;DE 14424;0080;9;20081214;;010306;J;N;
ABAG;Hamburg-Barmbek;Hamburg-Barmbek;Bf;;DE 14426;0080;2;20081214;;011205;J;N;
ABAH;Hamburg-Bahrenfeld Abzw;Bahrenfeld Abzw;Abzw;;DE 14425;0080;9;20081214;;722694;J;J;
ABAL;Barrl;Barrl;Bf;a.B.;DE 10643;0080;2;20030101;;012252;N;N;
ABAP;Hamburg-Barmbek                 (S-Bahn);Barmbek (S-Bahn);Bf;;DE 14427;0080;9;20081214;;010231;J;N;
ABAS;Badenstedt (b.Rotenburg (Wümme));Badenstedt;NE-Bf;a.B.; ;0080;;20090124;;585075;N;N;
ABAT;Bargstedt;Bargstedt;NE-Hp Anst;; ;0080;;20081214;;585877;J;N;
ABAW;Bardowick Hp;Bardowick Hp;Hp;;DE 10626;0080;2;20130905;;107745;J;N;
ABB;Bickbargen;Bickbargen;Üst;;DE 11215;0080;9;20081214;;102038;J;N;
ABBG;Blocksberg;Blocksberg;NE-Bf;; ;0080;;20081214;;507053;J;N;
ABBK;Hamburg-Billbrook;Hmb-Billbrook;NE-Bf;; ;0080;;20081214;;404814;J;N;
ABCH;Büchen;Büchen;Bf;;DE 11785;0080;2;20100801;;010546;J;N;
ABCHG;Büchen Bbf;Büchen Bbf;Bft;;DE 11786;0080;2;20081214;;908649;J;N;
ABCL;Barchel;Barchel;NE-Hp;; ;0080;;20090401;;417048;J;N;
ABDD;Breddorf;Breddorf;NE-Bf;a.B.; ;0080;;20090124;;585042;N;N;
ABDF;Beschendorf;Beschendorf;Bf;;DE 11185;0080;2;20081214;;016477;J;N;
ABDS;Hamburg-Bergedorf Süd;Hmb-Berged.Süd;NE-Bf;; ;0080;;20081214;;404517;J;N;
ABE;Beldorf;Beldorf;Hp;;DE 10750;0080;2;20081214;;014480;J;N;
ABEF;Beckdorf;Beckdorf;NE-Bf;a.B.; ;0080;;20090124;;585893;N;N;
ABEV;Bevern (Bremervörde);Bevern;NE-Bf;; ;0080;;20081214;;585927;J;N;
ABF;Bavendorf;Bavendorf;Hp;;DE 10691;0080;2;20081214;;011510;J;N;
ABG;Hamburg-Bergedorf;Hmb-Bergedorf;Bf;;DE 14429;0080;2;20081214;;010637;J;N;
ABG G;Hamburg-Bergedorf Gbf;Hmb-Berged Gbf;Bft;;DE 14431;0080;2;20090214;;908663;J;N;
ABG S;Hamburg-Bergedorf               (S-Bahn);Hmb-Bergedorf S;Bft;;DE 14430;0080;9;20090214;;908662;J;N;
ABGL;Hamburg-Barmbek Gleichrichterwerk;Gleichrwerk;Anst;a.B.;DE 14428;0080;2;20150710;20161210;618785;N;N;
ABGS;Beringstedt;Beringstedt;Hp;;DE 10825;0080;2;20081214;;014456;J;N;
ABH;Bokhorst;Bokhorst;Bf;a.B.;DE 11451;0080;2;20030101;;013698;N;N;
ABHT;Bokholt;Bokholt;NE-Hp;; ;0080;;20090401;;438044;J;N;
ABHV;Hamburg-Boberg-Havighorst;Boberg-Havigh;NE-Hp;a.B.; ;0080;;20090124;;100358;N;N;
ABIL;Bienenbüttel;Bienenbüttel;Bf;;DE 11232;0080;2;20081214;;011718;J;N;
ABIS;Hamburg-Billstedt;Hmb-Billstedt;NE-Bf;; ;0080;;20081214;;404921;J;N;
ABK;Brunsbüttel;Brunsbüttel;Bf;;DE 11760;0080;2;20081214;;015024;J;N;
ABKN;Brunsbüttel Nord;Brunsbüttel Nord;Bf;a.B.;DE 11762;0080;2;20030101;;334326;N;N;
ABKO;Brunsbüttel Ost;Brunsbüttel Ost;Awanst;a.B.;DE 11763;0080;2;20101212;;015016;N;N;
ABLX;Buchholz (Nordheide) ESTW-UZ;Buchholz ESTW;BZ;Planung; ;0080;2;20110812;;106664;N;N;
ABLZ;Buchholz (Nordheide);Buchholz (Nordh);Bf;;DE 11775;0080;2;20081214;;012336;J;N;
ABLZ1;Buchholz(Nordheide)                  EST;Buchholz(Nordh);Est;; ;0080;;19990101;;;;;
ABM;Bokelholm;Bokelholm;Bf;a.B.;DE 11450;0080;2;20030101;;014076;N;N;
ABM N;Bokelholm Nord;Bokelholm N;Bk;;DE 21617;0080;2;20081214;;912271;J;N;
ABM S;Bokelholm Süd;Bokelholm Süd;Bk;;DE 21618;0080;2;20081214;;912270;J;N;
ABMB;Barmstedt Brunnenstraße;Barm Brunnenstr;NE-Hp;; ;0080;;20120701;;438069;J;N;
ABMS;Barmstedt;Barmstedt;NE-Bf;; ;0080;;20090401;;438077;J;N;
ABNS;Bönningstedt;Bönningstedt;NE-Bft;; ;0080;;20120701;;404079;J;N;
ABOE;Bötersen;Bötersen;NE-Hp;; ;0080;;20130904;;108067;J;N;
ABOS;Boostedt;Boostedt;NE-Bf;; ;0080;;20081214;;404228;J;N;
ABR;Burg (Dithm);Burg (Dithm);Hp;;DE 11834;0080;2;20101212;;015040;J;N;
ABRA;Burg (Dithm) Awanst;Burg Awanst;Awanst;a.B.;DE 11835;0080;2;20080101;;720417;N;N;
ABRB;Bredenbek;Bredenbek;Hp;;DE 11607;0080;2;20141214;;106923;J;N;
ABRD;Bordesholm;Bordesholm;Bf;;DE 11488;0080;2;20081214;;013003;J;N;
ABRI;Brillit;Brillit;NE-Hp Anst;; ;0080;;20081214;;585281;J;N;
ABRM;Brandenbaum;Brandenbaum;Abzw;;DE 11558;0080;2;20110301;;017038;J;N;
ABRO;Brockel;Brockel;NE-Bf;; ;0080;;20081214;;585992;J;N;
ABRP;Braderup;Braderup;Bush;; ;0080;;19990101;;;;;
ABRS;Brokstedt;Brokstedt;Bf;;DE 11716;0080;2;20081214;;012930;J;N;
ABS;Hamburg-Billwerder                 (Üst);Billwerder;Üst;;DE 14433;0080;9;20081214;;192153;J;N;
ABSD;Bad Bramstedt;Bad Bramstedt;NE-Bf;; ;0080;;20081214;;404194;J;N;
ABSF;Börnsen;Börnsen;NE-Hp;; ;0080;;20081214;;404533;J;N;
ABSK;Bad Bramstedt Kurhaus;Bad Bramst Kurh;NE-Hp;; ;0080;;20081214;;404186;J;N;
ABSM;Büsum;Büsum;Bf;;DE 11814;0080;2;20081214;;015420;J;N;
ABSMH;Büsum Hafen;Büsum Hafen;Slst;; ;0080;;19990101;;;;;
ABSN;Besenhorst;Besenhorst;NE-Bf;a.B.; ;0080;;20090124;;404558;N;N;
ABST;Bredstedt;Bredstedt;Bf;;DE 11608;0080;2;20081214;;015685;J;N;
ABSTB;Bredstedt Bf;Bredstedt Bf;Bush;; ;0080;;20040303;;;N;N;
ABSTM;Bredstedt Marktplatz;Bredstedt Markt;Bush;; ;0080;;19990101;;;;;
ABTS;Hamburg Berliner Tor;Berliner Tor;Bft;;DE 14379;0080;9;20080101;;010264;N;N;
ABTSB;Hamburg Berliner Tor         (Bergedorf);Berliner Tor B;Bft;;DE 14382;0080;9;20091213;;910021;J;N;
ABTSL;Hamburg Berliner Tor          (Landwehr);Berliner Tor L;Bft;;DE 14381;0080;9;20091213;;910022;J;N;
ABUA;Burg (Fehmarn) Abzw;Burg (F) Abzw;Bft Abzw;Planung;DE 21683;0080;2;20150520;20161210;109522;N;N;
ABUA;Burg (Fehmarn) Abzw;Burg (F) Abzw;Bft Abzw;;DE 21683;0080;2;20161211;;109522;J;N;
ABUE;Büdelsdorf;Büdelsdorf;Bft;Studie;DE 11794;0080;2;20090301;20221231;106926;N;N;
ABUF;Fehmarn-Burg;Fehmarn-Burg;NE-Bft;; ;0080;;20120701;;016626;J;N;
ABUG;Burg (Fehmarn) DB-Grenze;Burg (F) DB-Gr;Gp;;DE 11836;0080;2;20091213;;106922;J;J;
ABUS;Büsenbachtal;Büsenbachtal;Hp;;DE 11813;0080;2;20081214;;012070;J;N;
ABUSS;Alter Schafstall;Alter Schafstall;Museum;; ;0080;;20000414;;;N;N;
ABUW;Burg (Fehmarn) West;Burg(F)West;Bf;;DE 11837;0080;2;20081214;;016964;J;N;
ABV;Bremervörde;Bremervörde;NE-Bf;; ;0080;;20081214;;585778;J;N;
ABVD;Bremervörde Süd;Bremervörde Süd;NE-Bf;; ;0080;;20081214;;417014;J;N;
ABVS;Bad Bevensen;Bad Bevensen;Bf;;DE 10408;0080;2;20081214;;011700;J;N;
ABWD;Hamburg-Burgwedel;Burgwedel;NE-Hp;; ;0080;;20081214;;404061;J;N;
ABWM;Hamburg-Billwerder-Moorfleet;Billw-Moorfl;Hp;;DE 14435;0080;9;20081214;;010652;J;N;
ABX;Buxtehude;Buxtehude;Bf;;DE 11880;0080;2;20081214;;011882;J;N;
ABXA;Buxtehude Abzw;Buxtehude Abzw;Bft Abzw;;DE 21663;0080;2;20151213;;109398;N;N;
ABXG;Buxtehude DB-Grenze;Buxtehude DB-Gr;Gp;;DE 11881;0080;2;20081214;;884965;J;J;
ABXS;Buxtehude Süd;Buxtehude Süd;NE-Bf;a.B.; ;0080;;20151213;20161210;426015;N;N;
ABZ;Bützfleth;Bützfleth;Anst;;DE 11816;0080;2;20030101;;011932;N;N;
ABZS;Hamburg Betriebszentrale S-Bahn;Hambg BZ S-Bahn;BZ;; ;0080;9;20080101;;104456;N;N;
ACD;Cadenberge;Cadenberge;Bf;;DE 11883;0080;2;20081214;;012005;J;N;
ACV;Cuxhaven;Cuxhaven;Bf;;DE 12029;0080;2;20081214;;012054;J;N;
ACV A;Cuxhaven Alte Liebe;Cuxhaven Alte Lb;Slst;; ;0080;;19990101;;;;;
ACV B;Cuxhaven Bf/ZOB;Cuxhaven Bf/ZOB;Bush;; ;0080;;20010320;;;;;
ACV C;Cuxhaven-Döse Kirche;Cuxhvn-Döse Kir;Bush;; ;0080;;20010315;;;N;N;
ACV E;Cuxhaven-Duhnen Seelust;Cuxhvn-Duh Seel;Bush;; ;0080;;20010317;;;N;N;
ACV F;Cuxhaven CF;Cuxhaven CF;Bft;;DE 12030;0080;2;20081214;;908660;J;N;
ACV G;Cuxhaven Gbf;Cuxhaven Gbf;Bft;;DE 12032;0080;2;20081214;;911732;J;N;
ACV H;Cuxhaven Helgoländer Kai;Cuxhv Helgol Kai;Slst;; ;0080;;20021219;;;N;N;
ACV K;Cuxhaven Alte Liebe Katamaran;Cuxhv Alte L Kat;Slst;; ;0080;;19990213;;;;;
ACV L;Cuxhaven Lichtenbergplatz;Cuxhaven Lichten;Bush;; ;0080;;20010315;;;N;N;
ACV M;Cuxhaven Amerika Bahnhof;Cux Amerika Bf;fb-Bft;; ;0080;2;20100603;;911084;J;N;
ACV N;Cuxhaven Döser Nordfeld;Cuxhvn Dös Nord;Bush;; ;0080;;20010317;;;N;N;
ACV O;Cuxhaven-Duhnen Dorfbrunnen;Cuxhvn-Duh Dorf;Bush;; ;0080;;20010315;;;N;N;
ACV W;Cuxhaven-Döse Kreuzweg;Cuxhvn-Döse Kreu;Bush;; ;0080;;20010315;;;N;N;
ACVG;Cuxhaven DB-Grenze;Cuxhaven DB-Gr;Gp;;DE 12031;0080;2;20130905;;107378;J;N;
ACVX;Cuxhaven ESTW;Cuxhaven ESTW;BZ;Planung; ;0080;2;20121106;;108601;N;N;
ADA;Dalldorf;Dalldorf;Bf;;DE 12053;0080;2;20081214;;011569;J;N;
ADB;Dannenberg Ost;Dannenberg Ost;Bf;;DE 12062;0080;2;20081214;;011460;J;J;
ADBG;Dannenberg Ost DB-Grenze;Dannenb O DB-Gr;Gp;;DE 12063;0080;2;20141214;;108861;J;N;
ADBH;Dagebüll Hafen;Dagebüll Hafen;NE-Bf;; ;0080;;20081214;;507079;J;N;
ADBK;Dagebüll Kirche;Dagebüll Kirche;NE-Hp;; ;0080;;20081214;;507061;J;N;
ADDL;Diekjen-Deel;Diekjen-Deel;Bush;; ;0080;;19990101;;;;;
ADEV;Deutsch Evern;Deutsch Evern;Bf;;DE 12174;0080;2;20081214;;011726;J;N;
ADF;Hamburg Dammtor;Hamburg Dammtor;Hp;;DE 14383;0080;2;20081214;;010892;J;N;
ADH;Dauenhof;Dauenhof;Bf;;DE 12093;0080;2;20081214;;012914;J;N;
ADL;Dahlenburg;Dahlenburg;Bf;;DE 12046;0080;2;20081214;;011502;J;N;
ADM;Dagebüll Mole;Dagebüll Mole;NE-Bf;; ;0080;;20081214;;507087;J;N;
ADO;Dorum;Dorum;Bf;;DE 12420;0080;2;20081214;;015933;J;N;
ADPA;Padborg DB;Padborg DB;Emst;; ;0080;;20060528;;;;;
ADR;Dollern;Dollern;Hp;;DE 12281;0080;2;20081214;;011916;J;N;
ADS;Deinste;Deinste;NE-Bf;; ;0080;;20081214;;585737;J;N;
ADS K;Deinste Kleinbf;Deinste Kleinbf;Museum;; ;0080;;20000414;;;N;N;
ADST;Hamburg Dammtor                 (S-Bahn);Dammtor (S-Bahn);Hp;;DE 14384;0080;9;20081214;;010249;J;N;
ADT;Hamburg Diebsteich;Diebsteich;Bf;;DE 14385;0080;9;20081214;;012823;J;N;
ADW;Dannenberg West;Dannenberg West;NE-Hp;; ;0080;;20140601;;011627;J;N;
ADZB;Deezbüll;Deezbüll;NE-Hp;; ;0080;;20081214;;507004;J;N;
AE;Hamburg-Eidelstedt;Hmb-Eidelstedt;Bf;;DE 14438;0080;2;20081214;;012807;J;N;
AE  F;Hamburg-Eidelstedt (Ef);Hmb-Eidelst Ef;Bft;;DE 14440;0080;2;20081214;;908654;J;N;
AE  N;Hamburg-Eidelstedt (En);Hmb-Eidelst En;Bft;;DE 14441;0080;2;20081214;;908655;J;N;
AE  O;Hamburg-Eidelstedt (Eo);Hmb-Eidelst Eo;Bft;;DE 14442;0080;2;20100301;;908656;J;J;
AEBG;Escheburg;Escheburg;NE-Hp;; ;0080;;20081214;;404541;J;N;
AEBR;Sankt Annen Eiderbrücke;Eiderbrücke;Üst;;DE 19253;0080;2;20081214;;397216;J;N;
AEC;Eckernförde;Eckernförde;Bf;;DE 12678;0080;2;20100801;;013920;J;N;
AECH;Echem;Echem;Hp;;DE 12671;0080;2;20081214;;011593;J;N;
AECX;Lindaunis ESTW-Z;Lindaunis ESTW;BZ;; ;0080;2;20110812;;106208;N;N;
AEF;Einfeld;Einfeld;Hp;;DE 12777;0080;2;20081214;;012997;J;N;
AEGS;Hamburg Elbgaustraße;Elbgaustraße;Bf;;DE 14386;0080;9;20081214;;012773;J;N;
AEGT;Hamburg Gutenbergstraße Abzw;Gutenbergst Abzw;Bft Abzw;Planung;DE 21690;0080;9;20151022;;109658;N;N;
AEI;Eidersperrwerk;Eidersperrwerk;Slst;; ;0080;;19990101;;;;;
AEL;Elmshorn;Elmshorn;Bf;;DE 12832;0080;2;20081214;;012880;J;N;
AEL N;Elmshorn Nord;Elmshorn Nord;Bft;;DE 12833;0080;2;20081214;;908666;J;N;
AEL W;Elmshorn West;Elmshorn West;Bft;;DE 12834;0080;2;20081214;;908667;J;N;
AELA;Ellerau;Ellerau;NE-Bf;; ;0080;;20081214;;404111;J;N;
AELG;Elmshorn DB-Grenze;Elmshorn DB-Gr;Gp;Planung;DE 21669;0080;2;20150404;20161210;109473;N;N;
AELG;Elmshorn DB-Grenze;Elmshorn DB-Gr;Gp;;DE 21669;0080;2;20161211;;109473;J;N;
AELX;Elmshorn ESTW-Z;Elmshorn ESTW;BZ;; ;0080;2;20110812;;107288;N;N;
AEN;Hamburg-Eidelstedt                 (AKN);Hmb-Eidelstedt;NE-Bf;; ;0080;;20081214;;404046;J;N;
AENG;Hamburg-Eidelstedt Zentrum DB-Gr;Eidelst Zentr Gr;Gp;;DE 14444;0080;9;20090124;;913374;J;N;
AENZ;Hamburg-Eidelstedt Zentrum;Hmb-Eidelst Zent;NE-Bf;; ;0080;;20081214;;404947;J;N;
AEOF;Edendorf;Edendorf;Bf;a.B.;DE 12683;0080;2;20030101;;014399;N;N;
AERI;Hamburg Ericus;Ericus;Abzw;;DE 14388;0080;2;20081214;;070219;J;N;
AERIA;Hamburg Ericus Awanst;Ericus Awanst;Awanst;a.B.;DE 14389;0080;2;20151213;20161231;911528;N;N;
AESG;Hamburg-Eidelstedt/Stellingen DB-Gr;Hmb-Eidelst Gr;Gp;;DE 14445;0080;9;20081214;;913375;N;N;
AESL;Essel (Kr Stade);Essel (Kr Stade);NE-Hp;; ;0080;;20081214;;585760;J;N;
AEST;Hamburg-Eidelstedt              (S-Bahn);Eidelst (S-Bahn);Bft;;DE 14439;0080;9;20111211;;012799;J;N;
AEU;Eutin;Eutin;Bf;;DE 13114;0080;2;20100801;;013540;J;N;
AEX;Hamburg-Eidelstedt ESTW-Z;Hmb-Eidelst ESTW;BZ;; ;0080;2;20140108;;109058;N;N;
AF;Flensburg;Flensburg;Bf;;DE 13214;0080;2;20081214;;014274;J;N;
AF  B;Flensburg Bahnhof;Flensburg Bf;Bush;; ;0080;;20080105;;;N;N;
AF  Z;Flensburg ZOB;Flensburg ZOB;Bush;; ;0080;;19990101;;;;;
AFAL;Faulück;Faulück;NE-Hp;a.B.; ;0080;;20090401;;100316;N;N;
AFB;Hamburg-Klein Flottbek;Klein Flottbek;Bf;;DE 14458;0080;9;20081214;;011056;J;N;
AFBG;Hamburg Friedrichsberg;Friedrichsbg;Hp;;DE 14390;0080;9;20081214;;011221;J;N;
AFC;Fockbek;Fockbek;Anst;a.B.;DE 13235;0080;2;20030101;;014530;N;N;
AFD;Friedrichstadt;Friedrichstadt;Hp;;DE 13467;0080;2;20101212;;015503;J;N;
AFE;Fredenbeck;Fredenbeck;NE-Hp;; ;0080;;20081214;;585745;J;N;
AFEB;Felde-Brandsbek;Felde-Brandsbek;Bf;;DE 13166;0080;2;20141214;;331025;J;N;
AFF;Frelsdorf;Frelsdorf;NE-Hp;; ;0080;;20081214;;585802;J;N;
AFFB;Fiefbergen;Fiefbergen;NE-Bf;; ;0080;;20081214;;489120;J;N;
AFHF;Flensburg Alter Bahnhof;Flensbg Alter Bf;Bft;;DE 13215;0080;2;20030101;;014316;N;N;
AFIB;Fischbek;Fischbek;Hp;;DE 13204;0080;2;20081214;;873992;J;N;
AFK;Fahrenkrug;Fahrenkrug;Bft;;DE 13130;0080;2;20081214;;013409;J;N;
AFN;Fresenburg;Fresenburg;Hp;;DE 13421;0080;2;20081214;;013367;J;N;
AFR;Flensburg Friedensweg;Friedensweg;Abzw;;DE 13216;0080;2;20081214;;017046;J;N;
AFRD;Friedrichsruh;Friedrichsruh;Hp;;DE 13464;0080;2;20081214;;010587;J;N;
AFRG;Friedrichsgabe;Friedrichsgabe;NE-Hp;; ;0080;;20081214;;593061;J;N;
AFS;Flensburg Süd;Flensburg Süd;Awanst;;DE 13218;0080;2;20081214;;354266;J;N;
AFT;Flintbek;Flintbek;Hp;;DE 13223;0080;2;20081214;;013011;J;N;
AFW;Flensburg Weiche;Flensburg Weiche;Bf;;DE 13219;0080;2;20081214;;014241;J;N;
AFW S;Flensburg Weiche Süd;Flensbg W Süd;Bft;;DE 13220;0080;2;20081214;;910552;J;N;
AFWI;Flensburg Wilhelminental;Fl Wilhelminent;Awanst;;DE 13221;0080;2;20081214;20161210;319434;J;N;
AFWI;Flensburg Wilhelminental;Fl Wilhelminent;Awanst;a.B.;DE 13221;0080;2;20161211;20171209;319434;N;N;
AFX;Flensburg ESTW-Z;Flensburg ESTW;BZ;; ;0080;2;20110812;;107286;N;N;
AGAS;Garstedt;Garstedt;NE-Bf;a.B.; ;0080;;20090124;;593012;N;N;
AGD;Garding;Garding;Hp;;DE 13562;0080;2;20081214;;015628;J;N;
AGEH;Geesthacht;Geesthacht;NE-Bf;; ;0080;;20081214;;404574;J;N;
AGF;Gettorf;Gettorf;Bf;;DE 13730;0080;2;20081214;;013896;J;N;
AGH;Göhrde;Göhrde;Hp;;DE 13811;0080;2;20081214;;011494;J;N;
AGHI;Grüner Hirsch;Grüner Hirsch;Bf;;DE 14146;0080;2;20081214;;016493;J;N;
AGK;Gokels;Gokels;Hp;;DE 13813;0080;2;20081214;;014464;J;N;
AGL;Gollau;Gollau;NE-Hp;; ;0080;;20060101;;425926;N;N;
AGNB;Gnarrenburg;Gnarrenburg;NE-Bf;; ;0080;;20081214;;585307;J;N;
AGNBN;Gnarrenburg Nord;Gnarrenburg Nord;NE-Hp;; ;0080;;20081214;;912704;J;N;
AGND;Glinde;Glinde;NE-Bf;; ;0080;;20081214;;404905;J;N;
AGO;Godenstedt;Godenstedt;NE-Bf;; ;0080;;20081214;;585943;J;N;
AGOE;Göhl;Göhl;Bf;;DE 13810;0080;2;20081214;;016527;J;N;
AGR;Groß Schlamin;Groß Schlamin;Bf;;DE 14024;0080;2;20081214;;016469;J;N;
AGRD;Grabow (Kr Dannenberg);Grabow(Dannenbg);NE-Hp;; ;0080;;20060101;;425934;N;N;
AGRO;Großenbrode;Großenbrode;Bf;;DE 14057;0080;2;20081214;;016576;J;N;
AGSA;Großenaspe;Großenaspe;NE-Bf;; ;0080;;20081214;;404210;J;N;
AGST;Glückstadt;Glückstadt;Bf;;DE 13797;0080;2;20081214;;014910;J;N;
AGTH;Geestenseth;Geestenseth;NE-Bf;; ;0080;;20081214;;585810;J;N;
AGUE;Güster;Güster;Bf;;DE 14182;0080;2;20081214;;016857;J;N;
AH;Hamburg Hbf;Hamburg Hbf;Bf;;DE 14393;0080;2;20081214;;010710;J;N;
AH  Z;Hamburg Hbf ZOB;Hamburg Hbf ZOB;Bush;; ;0080;;20151006;;;N;N;
AHA;Harblek;Harblek;Hp;;DE 14580;0080;2;20081214;;015586;J;N;
AHAB;Hamburg-Hammerbrook;Hammerbrook;Bft;;DE 14446;0080;9;20081214;;010405;J;N;
AHAF;Haffkrug;Haffkrug;Bf;;DE 14232;0080;2;20081214;;016428;J;N;
AHAM;Hammah;Hammah;Hp;;DE 14524;0080;2;20081214;;011940;J;N;
AHAN;Handeloh;Handeloh;Bf;;DE 14541;0080;2;20081214;;012195;J;N;
AHAR;Hamburg-Harburg;Hmb-Harburg;Bf;;DE 14447;0080;2;20081214;;011346;J;N;
AHARB;Hamburg-Harburg Bbf;Hmb-Harburg Bbf;Bft;;DE 14449;0080;2;20081214;;908657;J;N;
AHARH;Hamburg-Harburg Betriebsbahnhof Süd;Hmb-Harb Bbf Süd;Bft;;DE 14450;0080;2;20081214;;912305;J;N;
AHAX;Hamburg-Harburg ESTW-UZ;Hmb-Harburg ESTW;BZ;; ;0080;2;20110812;;106658;N;N;
AHB;Hamburg Unterelbe;Hmb Unterelbe;Bf;;DE 14416;0080;2;20081214;;011387;J;N;
AHBG;Hamburg-Hausbruch DB-Grenze;Hmb-Hausbr DB-Gr;Gp;;DE 14454;0080;2;20091213;;106854;J;N;
AHBI;Hamburg-Billwerder;Hmb-Billwerder;Bf;;DE 14432;0080;2;20081214;;070177;J;J;
AHBIA;Hamburg-Billwerder-Moorfleet      (Abzw);Billwerder-Moorf;Bft Abzw;;DE 14436;0080;2;20130301;;304360;J;N;
